City,Country,lat,long,instagram post
Singapore,Singapore,1.3521,103.8198,https://www.instagram.com/p/BweiFEDACEc/
Kuala Lumpur,Malaysia,3.139,101.6869,https://www.instagram.com/p/BwrfnPtAtKT/
Luxemburg City,Luxemberg,49.6116,6.1319,https://www.instagram.com/p/BWWsVz1FbSg/
Batu Caves,Malaysia,3.2374,101.6839,https://www.instagram.com/p/BwZAa1_gAS6/
Positano,Italy,40.6281,14.485,https://www.instagram.com/p/Bxfk4ffipaA/
Amalfi,Italy,40.634,14.6027,https://www.instagram.com/p/BxflZweCOB8/
Disneyland Paris,France,48.8679,2.7757,https://www.instagram.com/p/BXjE1ukFS9a/
Capri,Italy,40.5532,14.2222,https://www.instagram.com/p/BxuO26iC8Nz/
Heidelberg,Germany,49.3987,8.6724,https://www.instagram.com/p/BY3C5uJlgVP/
Rhone Glacier,Switzerland,46.5719,8.3763,https://www.instagram.com/p/BZcNWwolg8l/
Rome,Italy,41.9028,12.4964,https://www.instagram.com/p/BzLB-UwCdzA/
Vaduz,Liechtenstein,47.141,9.5215,https://www.instagram.com/p/BZsobJ-F9x9/
Malbun,Liechtenstein,47.1015,9.6096,https://www.instagram.com/p/BZsr5vTFcnu/
Liege,Belgium,50.633,5.5697,https://www.instagram.com/p/BZyTaCHlRvt/
Chamonix-Mont Blanc,France,45.9237,6.8693,https://www.instagram.com/p/CaCS2-HKYkI/
Szczecin,Poland,53.4285,14.5528,https://www.instagram.com/p/CCQZ1FzK1Rm/
Torremolinos,Spain,36.6225,-4.4994,https://www.instagram.com/p/CDiaLR4KOak/
Gibraltar,Gibraltar,36.1447, -5.3525,https://www.instagram.com/p/CDjtVI1qDTO/
Koenigsee,Germany,47.6007,12.983,https://www.instagram.com/p/CFAXA-CK2la/
Partnachklamm,Germany,47.4649,11.1219,https://www.instagram.com/p/CFJrZJHK2Q6/
Plansee,Austria,47.4758,10.8162,https://www.instagram.com/p/CFJxL6nKNh0/
Warnemuende,Germany,54.1703,12.0784,https://www.instagram.com/p/CQ8jKaUApFf/
Ibiza,Spain,39.02,1.4821,https://www.instagram.com/p/CSbg2NQqbL6/
Florence,Italy,43.7792,11.2462,https://www.instagram.com/p/CSWi9f3qhz8/
Faro,Portugal,37.0193,-7.9322,https://www.instagram.com/p/CUDILSLqYBO/
Bruges,Belgium,51.2089,3.2242,https://www.instagram.com/p/CUj6cFWAGp5/
Lauterbrunnen,Switzerland,46.5935,7.9091,https://www.instagram.com/p/CZ91yswqkOh/
Grindelwald,Switzerland,46.6239,8.036,https://www.instagram.com/p/CZvk3M7KbFy/
Bad Schandau,Germany,50.9174,14.1549,https://www.instagram.com/p/-TxndtIJaH/
Tavira,Portugal,37.1273,-7.6486,https://www.instagram.com/reel/CT6pjyPKmKo/
Lagos,Portugal,37.1296,-8.6695,https://www.instagram.com/reel/CT6rT8WqdPP/
Amsterdam,The Netherlands,52.3676,4.9041,https://www.instagram.com/reel/CUhd_D3Aws5/
Brussels,Belgium,50.8476,4.3572,https://www.instagram.com/reel/CUsSt70qLcH/
Mykonos,Greece,37.4452,25.3287,https://www.instagram.com/reel/CUU0Y70qhTF/
Crete,Greece,35.3278,25.1434,https://www.instagram.com/reel/CUUyp4ZqJAa/
Tallinn,Estonia,59.437,24.7536,https://www.instagram.com/reel/CX07-eHhtdK/
Budapest,Hungary,47.4979,19.0402,https://www.instagram.com/reel/CX08v2khFzz/
Rhodes,Greece,36.4408,28.2225,https://www.instagram.com/reel/CXvsCNdKhKc/
Wroclaw,Poland,51.1079,17.0385,https://www.instagram.com/reel/CXw2EIGKQVm/
Rheinfall ,Switzerland,47.678,8.6156,https://www.instagram.com/reel/CXzgFYvhG6V/
Paris,France,48.8566,2.3522,https://www.instagram.com/reel/CYlZ4BphkVv/
